LOCAT.,DATE,TIME,LAT.-LONG.,M/I,DETAIL
Andaman Sea ,17/9/2004,18:25,"14.9, 96.3",5.8,Seismic sensibility on high-rise buildings in Bangkok
Andaman Sea ,27/12/2004,16:39,"6.09, 94.60",6.6,Seismic sensibility at Phuket
Andaman Sea ,30/4/2011,18:12,"7.39, 97.76",4.4,Seismic sensibility at Phuket
"Chan, Myanmar ",24/1/2006,20:42,"20.53, 98.69",5.7,"Seismic sensibility at Chiang Mai, Chiang Rai, Ma Hong Son"
Chiang Mai,16/3/2006,20:34,"18.70, 98.50",3,"Seismic sensibility at Chom Thong, Mueang Chiang Mai, Mae Wang, Chiang Mai "
Chiang Mai ,4/12/2005,16:34,"18.70, 98.50",4.1,Seismic sensibility on the high-rise buldings Chiang Mai and Lamphun 
Chiang Rai ,7/12/2005,16:02,"19.70, 99.60",3.9,"Seismic sensibility at Mae Suai, Chiang Rai"
Chiang Rai ,15/12/2005,13:48,"19.43, 100.18",4.1,"Seismic sensibility at Meaung Chiang Rai,  Thoeng, Chiang Rai"
Chiang Rai ,16/12/2005,9:14,"19.43, 99.96","3.8, 3.9","Seismic sensibility at Pa Daet, Chiang Rai"
"Dok Khamtai, Phayao",24/10/2014,8:27,"19.10, 100.09",3.6,"Seismic sensibility at Dok Khamtai, Phayao"
"Hang Dong, Chiang Mai",13/7/2006,7:28,"18.8, 98.8",3,"Seismic sensibility at  Hang Dong, San Pa Tong, Chiang Mai"
"Hang Dong, Chiang Mai",6/8/2006,12:15,"19.15, 98.92",3.4,"Seismic sensibility at Chiang Dao, Chiang Mai"
"Hat Samran, Trang",24/6/2011,23:42,"7.38, 99.63",3.5,"Seismic sensibility at Kantang, Yan Ta Khao, Mueang Trang in Trang"
"Ko Yao, Phangnga",20/2/2015,13:02,"7.87, 98.57",4,"Seismic sensibility at Meaung Phuket, Kathu, Thalang in Phuket, Yao Yai island in Phangnga"
"Ko Yao, Phangnga",6/5/2015,4:18,"7.85, 98.54",4.6,"Seismic sensibility at Phangnga, Phuket and Krabi"
"Ko Yao, Phangnga",7/5/2015,0:30,"7.84, 98.51",4.5,"Seismic sensibility at Phangnga, Phuket and Krabi"
Laos,16/10/2007,13:47,"20.84, 100.93",5,Seismic sensibility at Chiang Rai
Laos ,23/2/2011,22:53,"18.82, 101.74",5.4,"Seismic sensibility at Phrae, Nan, Udon Thani, Loei, Nong Khai, Nong Bua Lam Phu, Khon Kaen, Mara Sarakham"
Laos - Myanmar Border,15/5/2007,21:35,"20.87, 100.74",5.1,Seismic sensibility at Chiang Rai
Laos - Myanmar Border ,16/5/2007,15:57,"21.1, 100.32",6.1,Seismic sensibility at the northern part and the high-rise buldingsin Bangkok 
"Li, Lamphun",5/6/2005,12:43,"17.8, 99.0",3,Away from Chiang Mai to south around 110 km.
"Mae Chan, Chiang Rai",20/9/2013,17:05,"20.23, 99.95",2.4,"Seismic sensibility at Mae Sai, Chiang Rai"
"Mae Lao, Chiang Rai",13/9/2012,1:55,"19.75, 99.82",3.4,"Seismic sensibility at Phan, Chiang Rai"
"Mae Lao, Chiang Rai",5/5/2014,18:08,"19.75, 99.69",6.3,"Seismic sensibility atChiang Rai, Phrae, Ma Hong Son, Uttaradit, Phitsanulok, Chiang Mai and the high-rise buildings in Bangkok"
"Mae Rim , Chiang Mai",13/12/2006,0:28,"18.93, 98.97",5.1,Seismic sensibility at Chiang Mai and the high-rise buldings in Chiang Rai
"Mae Rim , Chiang Mai",19/12/2006,0:43,"19.02, 99.08",2.7,"Seismic sensibility at Mae Rim , Chiang Mai"
"Mae Rim , Chiang Mai",22/12/2006,9:50,"19.0, 99.0",2.2,"Seismic sensibility at Mae Rim , Chiang Mai"
"Mae Rim , Chiang Mai",23/12/2006,12:14,"19.0, 99.0",3.6,"Seismic sensibility at Mae Rim , Chiang Mai"
"Mae Rim , Chiang Mai",6/1/2007,12:14,"18.9, 99.0",3.1,"Seismic sensibility at Meaung Chiang Mai, Mae Rim , Chiang Mai"
"Mae Rim , Chiang Mai",19/6/2007,1:26,"18.9, 99.0",4.5,"Seismic sensibility at Mae Rim , Chiang Maiand Lamphun"
"Mae Rim , Chiang Mai",22/4/2008,7:26,"18.89, 98.97",3.9,"Seismic sensibilityat  Mae Rim, Chiang Mai"
"Mae Suai, Chiang Rai ",27/3/2004,11:05,"19.43, 99.46",3.4,"Seismic sensibility at Mae Suai, Chiang Rai"
"Mae Wang, Chiang Mai",5/4/2013,23:20,"18.64, 98.72",2.9,"Seismic sensibility at Mae Wang, Hang Dong, Meaung Chiang Mai in Chiang Mai "
